model,split,node,n_predictions,rmse,mae
naive_persistence,test,iv_x17_t06,422,0.0107676029451059,0.0080294030990956
naive_persistence,test,iv_x17_t07,422,0.0120734971897612,0.0087386150966046
naive_persistence,test,iv_x17_t08,422,0.0132892405070365,0.0093588736322171
naive_persistence,test,iv_x17_t09,422,0.0142410982216716,0.0097363697482232
naive_persistence,test,iv_x17_t10,422,0.0142468633656046,0.009598377847431
naive_persistence,test,iv_x17_t11,422,0.0153768345687395,0.0101267416874755
naive_persistence,test,iv_x17_t12,422,0.0171005805414596,0.0115301028315227
naive_persistence,test,iv_x17_t13,422,0.0187237518372548,0.0119204767389794
naive_persistence,test,iv_x17_t14,422,0.0180483277136971,0.0116659557119337
naive_persistence,test,iv_x17_t15,422,0.0194989695665761,0.0124760694462139
naive_persistence,test,iv_x17_t16,422,0.021651456728727,0.0141991516082549
naive_persistence,test,iv_x17_t17,422,0.0210744542069666,0.0140722980665124
naive_persistence,test,iv_x17_t18,263,0.015423726532318,0.0100598296026739
naive_persistence,test,iv_x18_t01,422,0.0061581752996177,0.0041059742863334
naive_persistence,test,iv_x18_t02,422,0.007102550538601,0.004760680345673
naive_persistence,test,iv_x18_t03,422,0.0072173902861909,0.0052371516289767
naive_persistence,test,iv_x18_t04,422,0.0078546552126677,0.0058476068059185
naive_persistence,test,iv_x18_t05,422,0.0088702564782056,0.0064638637345109
naive_persistence,test,iv_x18_t06,422,0.0095309936615839,0.0070032322214676
naive_persistence,test,iv_x18_t07,422,0.0104894125062869,0.0077457161341528
naive_persistence,test,iv_x18_t08,422,0.0112742098800366,0.0082034705582582
naive_persistence,test,iv_x18_t09,422,0.012062237075822,0.0087694934504797
naive_persistence,test,iv_x18_t10,422,0.0128568175318136,0.0091866864899579
naive_persistence,test,iv_x18_t11,422,0.0151922039220227,0.0103722950769612
naive_persistence,test,iv_x18_t12,422,0.0167774972733513,0.0111899973811588
naive_persistence,test,iv_x18_t13,422,0.0168628099884728,0.011254889859453
naive_persistence,test,iv_x18_t14,422,0.0153566860266174,0.0104270108477465
naive_persistence,test,iv_x18_t15,422,0.0169206438151172,0.0117158770195354
naive_persistence,test,iv_x18_t16,422,0.0184580383404965,0.0129552472699782
naive_persistence,test,iv_x18_t17,418,0.0196000642498848,0.0138894304921247
naive_persistence,test,iv_x18_t18,263,0.0156817452841975,0.0111081281320998
naive_persistence,test,iv_x19_t01,370,0.0063914921614218,0.0042299041131504
naive_persistence,test,iv_x19_t02,422,0.0063149795845005,0.0043916975956313
naive_persistence,test,iv_x19_t03,422,0.006476729385446,0.0046251254947137
naive_persistence,test,iv_x19_t04,422,0.0071176626516521,0.0052457145657241
naive_persistence,test,iv_x19_t05,422,0.0075749459505476,0.005622215782323
naive_persistence,test,iv_x19_t06,422,0.0082199584239119,0.0061327351895987
naive_persistence,test,iv_x19_t07,422,0.0090534241759321,0.006754906536647
naive_persistence,test,iv_x19_t08,422,0.0102608266589176,0.0076496369737141
naive_persistence,test,iv_x19_t09,422,0.0108840254711746,0.0081221856661164
naive_persistence,test,iv_x19_t10,422,0.011413060627263,0.0084254525938873
naive_persistence,test,iv_x19_t11,422,0.0135419160931934,0.0094302946003948
naive_persistence,test,iv_x19_t12,422,0.0144666176073077,0.0100479641659531
naive_persistence,test,iv_x19_t13,422,0.0142809658025168,0.0101296565394635
naive_persistence,test,iv_x19_t14,422,0.0152543064373888,0.0106266368639361
naive_persistence,test,iv_x19_t15,422,0.0155977724782703,0.0111325485578939
