quote_date,total_delta_before,total_gamma_before,hedge_underlying_units_delta_only,hedge_option_contract_key,hedge_option_type,hedge_option_strike,hedge_option_expiration,hedge_option_price_t,hedge_option_price_tplus1,hedge_option_delta,hedge_option_gamma,hedge_option_units,hedge_underlying_units_delta_gamma,residual_delta_after_hedge,residual_gamma_after_hedge,hedge_status
2023-06-16,-0.4449528680814015,-0.0001470769702839,0.4449528680814015,^SPX|SPXW|2023-07-21|4415.000000|C,C,4415.0,2023-07-21,72.85,56.95,0.5603013382692298,0.0025354114037696,0.058009114444002,0.4124502836266143,0.0,0.0,hedged
2023-06-20,0.2123278049597809,1.400912169447944e-05,-0.2123278049597809,^SPX|SPXW|2023-07-21|4395.000000|C,C,4395.0,2023-07-21,68.44999999999999,51.15,0.5500430576915493,0.0026292889395733,-0.0053281027747193,-0.2093971190178794,0.0,0.0,hedged
2023-06-21,0.2141364120809076,7.354562441648259e-05,-0.2141364120809076,^SPX|SPX|2023-07-21|4370.000000|C,C,4370.0,2023-07-21,64.80000000000001,64.5,0.5389015499999679,0.0026944273768607,-0.0272954561878631,-0.1994268484333119,0.0,0.0,hedged
2023-06-22,0.112163112990597,4.757775866758444e-05,-0.112163112990597,^SPX|SPX|2023-08-18|4375.000000|C,C,4375.0,2023-08-18,98.2,83.1,0.5491704831522655,0.0018070764345539,-0.0263285812142907,-0.0977042333244313,0.0,0.0,hedged
2023-06-23,-0.0493106064323659,0.0001127299546868,0.0493106064323659,^SPX|SPX|2023-09-15|4355.000000|C,C,4355.0,2023-09-15,128.25,115.55,0.5868339714780071,0.0015123146726792,-0.074541335029887,0.0930539941072272,0.0,0.0,hedged
2023-06-26,0.0025501375863247,4.713570445401039e-05,-0.0025501375863247,^SPX|SPXW|2023-07-31|4340.000000|P,P,4340.0,2023-07-31,54.15,38.05,-0.4480500026597039,0.0025161173535406,-0.0187335079533083,-0.0109436858746301,0.0,0.0,hedged
2023-06-27,-0.0085106303596548,-1.788495379108214e-05,0.0085106303596548,^SPX|SPX|2023-09-15|4380.000000|C,C,4380.0,2023-09-15,124.4,113.25,0.5970797941170911,0.0016003948798934,0.0111753380467402,0.0018380618195182,0.0,0.0,hedged
2023-06-28,0.1512371587732076,0.0001652854987947,-0.1512371587732076,^SPX|SPX|2023-09-15|4370.000000|P,P,4370.0,2023-09-15,80.94999999999999,75.8,-0.4126349479305906,0.0014859553824464,-0.1112318046337178,-0.1971352886864674,0.0,0.0,hedged
2023-06-29,0.0529796280425291,-5.4010956670478e-05,-0.0529796280425291,^SPX|SPX|2023-09-15|4390.000000|P,P,4390.0,2023-09-15,82.0,60.85,-0.4546622677149517,0.0017155971034283,0.0314823081494741,-0.0386658104263882,0.0,0.0,hedged
2023-06-30,-0.0347208127119809,9.678176636501743e-05,0.0347208127119809,^SPX|SPX|2023-09-15|4455.000000|C,C,4455.0,2023-09-15,117.15,115.8,0.5770737024454179,0.001621965203099,-0.0596694467798051,0.0691544812880728,0.0,0.0,hedged
2023-07-03,0.0018245415521893,-0.0001563500414807,-0.0018245415521893,^SPX|SPX|2023-09-15|4455.000000|C,C,4455.0,2023-09-15,115.8,114.6,0.5691421592289377,0.0016084031898895,0.0972082388691573,-0.0571498485170238,0.0,0.0,hedged
2023-07-05,0.0544131870618779,3.991781749523134e-05,-0.0544131870618779,^SPX|SPX|2023-09-15|4450.000000|C,C,4450.0,2023-09-15,117.9,96.25,0.5374796309247197,0.0014459017109201,-0.0276075594860651,-0.0395746861785753,0.0,0.0,hedged
2023-07-06,0.0691627201214156,0.0001389302618449,-0.0691627201214156,^SPX|SPX|2023-09-15|4410.000000|C,C,4410.0,2023-09-15,121.6,117.85,0.5539897882057122,0.0014671254991483,-0.094695553942417,-0.0167023502488333,0.0,0.0,hedged
2023-07-07,0.1539412879729027,4.895469736604815e-05,-0.1539412879729027,^SPX|SPX|2023-09-15|4410.000000|P,P,4410.0,2023-09-15,83.8,85.5,-0.4670776549730095,0.0017527880918812,-0.0279296154468418,-0.1669865872601115,0.0,0.0,hedged
2023-07-10,-0.1737141838744317,-0.0001223695721,0.1737141838744317,^SPX|SPX|2023-09-15|4400.000000|C,C,4400.0,2023-09-15,119.25,137.45,0.5826849540941832,0.0016154843347098,0.0757479162569401,0.1295770127675264,0.0,0.0,hedged
2023-07-11,0.1228116490110294,9.355412932755183e-05,-0.1228116490110294,^SPX|SPX|2023-09-15|4435.000000|C,C,4435.0,2023-09-15,113.55,136.55,0.5688735501030698,0.001641146731569,-0.05700534116051,-0.0903828182102134,0.0,0.0,hedged
2023-07-12,0.1243090280769572,0.0001279459016163,-0.1243090280769572,^SPX|SPX|2023-09-15|4475.000000|C,C,4475.0,2023-09-15,108.75,135.55,0.5774737403878095,0.0017548301679919,-0.0729107032407072,-0.0822050115622404,0.0,0.0,hedged
2023-07-13,0.1495497067866173,2.483858371417316e-05,-0.1495497067866173,^SPX|SPX|2023-09-15|4515.000000|P,P,4515.0,2023-09-15,72.0,76.85,-0.4431503198642559,0.0018672813295029,-0.0133020039999998,-0.1554444941140528,0.0,0.0,hedged
2023-07-14,0.0608207723188525,7.491571594279182e-05,-0.0608207723188525,^SPX|SPX|2023-09-15|4505.000000|P,P,4505.0,2023-09-15,73.35,64.9,-0.4311368812726884,0.0017552539559699,-0.0426808415317844,-0.0792220572269598,0.0,0.0,hedged
2023-07-17,0.0914992627979285,-5.922932582116231e-05,-0.0914992627979285,^SPX|SPX|2023-08-18|4525.000000|C,C,4525.0,2023-08-18,69.9,89.4,0.5690755634511444,0.002707735003594,0.0218741220032776,-0.1039472911019427,0.0,0.0,hedged
2023-07-18,0.2402975365894779,0.0001689628441631,-0.2402975365894779,^SPX|SPX|2023-08-18|4560.000000|C,C,4560.0,2023-08-18,66.9,72.25,0.5584231653960362,0.0027550685247029,-0.0613280006098285,-0.2060505603615274,0.0,0.0,hedged
2023-07-19,0.3096506728295174,0.0002998522424054,-0.3096506728295174,^SPX|SPX|2023-09-15|4570.000000|C,C,4570.0,2023-09-15,102.3,80.5,0.5736911947458763,0.0018531567418054,-0.1618061956881581,-0.2168238831078929,0.0,0.0,hedged
2023-07-20,0.2565365611084683,0.0001330853749624,-0.2565365611084683,^SPX|SPX|2023-09-15|4535.000000|P,P,4535.0,2023-09-15,73.4,69.3,-0.4510254890237137,0.00188608867893,-0.0705615682068035,-0.288361626915222,0.0,0.0,hedged
2023-07-21,0.140779003351994,7.999100390790957e-05,-0.140779003351994,^SPX|SPX|2023-09-15|4535.000000|P,P,4535.0,2023-09-15,69.3,61.95,-0.4185904090840349,0.001766890605442,-0.0452721881374748,-0.159729507104589,0.0,0.0,hedged
2023-07-24,0.0158336749087633,-0.0001234685374931,-0.0158336749087633,^SPX|SPX|2023-09-15|4555.000000|P,P,4555.0,2023-09-15,68.6,62.6,-0.43197441933907,0.0018792436119979,0.0657011878102542,0.0125475575454584,0.0,0.0,hedged
2023-07-25,0.091515790142435,4.782845154038276e-05,-0.091515790142435,^SPX|SPX|2023-09-15|4570.000000|C,C,4570.0,2023-09-15,96.85,88.75,0.5758952531252594,0.0019716926888722,-0.0242575589037351,-0.0775459771173675,0.0,0.0,hedged
2023-07-26,0.0344453121255316,0.0001102817652657,-0.0344453121255316,^SPX|SPX|2023-09-15|4565.000000|P,P,4565.0,2023-09-15,63.7,81.85,-0.4241798448772106,0.001959922890359,-0.0562684204609185,-0.0583132419881296,0.0,0.0,hedged
2023-07-27,-0.0570944219224841,2.946612618471577e-05,0.0570944219224841,^SPX|SPX|2023-09-15|4535.000000|P,P,4535.0,2023-09-15,70.45,50.15,-0.4485763501337002,0.0019465997233241,-0.0151372292062165,0.0503042188940222,0.0,0.0,hedged
2023-07-28,-0.0527424942152631,0.0001286502794478,0.0527424942152631,^SPX|SPX|2023-09-15|4580.000000|C,C,4580.0,2023-09-15,88.0,86.30000000000001,0.5377680126159671,0.0019626334221765,-0.0655498260623344,0.087993093904127,0.0,0.0,hedged
2023-07-31,-0.0471604667996163,0.0002307569352468,0.0471604667996163,^SPX|SPX|2023-09-15|4575.000000|C,C,4575.0,2023-09-15,89.45,88.19999999999999,0.5700736997921916,0.0021081433695657,-0.1094597922409508,0.1095606155408998,0.0,0.0,hedged
2023-08-01,-0.0545222096557782,-2.929447035615847e-05,0.0545222096557782,^SPX|SPX|2023-09-15|4575.000000|C,C,4575.0,2023-09-15,88.19999999999999,60.3,0.5664218219761183,0.0021190278454503,0.0138244857985488,0.0466917192218811,0.0,0.0,hedged
2023-08-02,0.2012520276550936,0.0001272511464748,-0.2012520276550936,^SPX|SPX|2023-09-15|4515.000000|P,P,4515.0,2023-09-15,74.1,76.6,-0.4418881227284465,0.0018100982919168,-0.0703006831413813,-0.2323170645549659,0.0,0.0,hedged
2023-08-03,0.2839135425556978,0.0001558626245875,-0.2839135425556978,^SPX|SPX|2023-09-15|4505.000000|C,C,4505.0,2023-09-15,92.05,77.45,0.5493169940505994,0.001936264467779,-0.0804965577694443,-0.2396954154103662,0.0,0.0,hedged
2023-08-04,0.1589139332885711,-5.358015568354022e-05,-0.1589139332885711,^SPX|SPX|2023-09-15|4475.000000|C,C,4475.0,2023-09-15,95.7,112.1,0.5440671852573614,0.0018324425892453,0.0292397458987278,-0.1748223195373324,0.0,0.0,hedged
2023-08-07,0.0798625400754291,4.326317474554822e-05,-0.0798625400754291,^SPX|SPX|2023-09-15|4510.000000|P,P,4510.0,2023-09-15,67.2,71.55000000000001,-0.4423425279893945,0.0019936663228911,-0.021700308747157,-0.0894615095047969,0.0,0.0,hedged
2023-08-08,0.1433417408886086,-1.7470217292465224e-05,-0.1433417408886086,^SPX|SPX|2023-09-15|4500.000000|P,P,4500.0,2023-09-15,67.85,74.85,-0.442980641641397,0.0019802201255002,0.008822361245345,-0.1394336056433534,0.0,0.0,hedged
2023-08-09,0.190295652842369,2.107423204721041e-05,-0.190295652842369,^SPX|SPX|2023-09-15|4480.000000|P,P,4480.0,2023-09-15,67.25,75.9,-0.4562947400848271,0.0020944840313179,-0.0100617773791045,-0.1948867889363588,0.0,0.0,hedged
2023-08-10,0.1174668775873501,5.4636969680222914e-05,-0.1174668775873501,^SPX|SPX|2023-09-15|4465.000000|P,P,4465.0,2023-09-15,70.1,62.65,-0.4786405797112683,0.0021697808854711,-0.0251808696657211,-0.1295194636417848,0.0,0.0,hedged
2023-08-11,-0.1558282197412892,-1.965888194856816e-05,0.1558282197412892,^SPX|SPX|2023-09-15|4465.000000|C,C,4465.0,2023-09-15,80.55,88.0,0.5256679858287221,0.0020741673055304,0.0094779634681111,0.1508459577752489,0.0,0.0,hedged
2023-08-14,-0.073139771547475,-6.878701778884478e-05,0.073139771547475,^SPX|SPX|2023-09-15|4485.000000|P,P,4485.0,2023-09-15,59.5,88.25,-0.4586113186539809,0.0023803247393837,0.0288981653010313,0.0863927972428616,0.0,0.0,hedged
2023-08-15,-0.15194207434471,-0.0001005721227619,0.15194207434471,^SPX|SPX|2023-09-15|4435.000000|P,P,4435.0,2023-09-15,66.25,74.3,-0.4820168482628101,0.0023190088492666,0.0433685808459529,0.1728464609977071,0.0,0.0,hedged
2023-08-16,-0.0089092385584384,4.274889749523577e-06,0.0089092385584384,^SPX|SPX|2023-09-15|4410.000000|P,P,4410.0,2023-09-15,64.3,86.25,-0.4750695679991923,0.0023338128712983,-0.0018317191588481,0.0080390445289485,0.0,0.0,hedged
2023-08-17,-0.0074183935717828,0.0001496329138379,0.0074183935717828,^SPX|SPXW|2023-09-29|4370.000000|P,P,4370.0,2023-09-29,85.2,79.3,-0.4852034550547852,0.0018330576632402,-0.0816302273728778,-0.0321888747864452,0.0,0.0,hedged
2023-08-18,-0.0131056180660241,4.7599744193556283e-07,0.0131056180660241,^SPX|SPX|2023-10-20|4375.000000|P,P,4375.0,2023-10-20,95.9,80.35,-0.4471107205085285,0.0014377681477423,-0.000331066898848,0.0129575945063436,0.0,0.0,hedged
2023-08-21,-0.0247567039641207,-0.0001180966352116,0.0247567039641207,^SPX|SPX|2023-10-20|4405.000000|P,P,4405.0,2023-10-20,90.0,98.35,-0.4337980130800448,0.0014559872581814,0.0811110362044667,0.0599425103084819,0.0,0.0,hedged
2023-08-22,0.1758296816950842,-2.174161739521762e-05,-0.1758296816950842,^SPX|SPX|2023-10-20|4385.000000|P,P,4385.0,2023-10-20,91.05,67.6,-0.4373638910223182,0.0014594895114511,0.0148967273999799,-0.1693143910359301,0.0,0.0,hedged
2023-08-23,0.1489087038941378,0.0001601736255168,-0.1489087038941378,^SPX|SPXW|2023-09-22|4440.000000|C,C,4440.0,2023-09-22,78.05,49.400000000000006,0.5479453921717292,0.0022857946847471,-0.0700734963580139,-0.1105122544514015,0.0,0.0,hedged
2023-08-24,0.1261767641081261,6.66236315777749e-05,-0.1261767641081261,^SPX|SPX|2023-10-20|4385.000000|P,P,4385.0,2023-10-20,88.80000000000001,72.45,-0.4377751260501863,0.0014971902235292,-0.0444991094189264,-0.1456573673431176,0.0,0.0,hedged
2023-08-25,0.1806140284501827,-4.880499643089896e-05,-0.1806140284501827,^SPX|SPX|2023-10-20|4415.000000|C,C,4415.0,2023-10-20,110.3,115.65,0.5301241670931774,0.0015172723328509,0.0321662732353352,-0.1976661472575563,0.0,0.0,hedged
2023-08-28,-0.1701427715337446,-7.008487469838524e-05,0.1701427715337446,^SPX|SPX|2023-10-20|4430.000000|P,P,4430.0,2023-10-20,77.85,52.900000000000006,-0.434519111036192,0.001679524111341,0.0417290077737691,0.1882748228960251,0.0,0.0,hedged
2023-08-29,0.1594353815299445,-2.5469581598802504e-05,-0.1594353815299445,^SPX|SPX|2023-10-20|4500.000000|C,C,4500.0,2023-10-20,101.6,106.85,0.5629112042233785,0.0018140548606424,0.0140401385599672,-0.1673387328341987,0.0,0.0,hedged
2023-08-30,0.1831262624556368,5.2656475642893865e-05,-0.1831262624556368,^SPX|SPXW|2023-09-29|4515.000000|C,C,4515.0,2023-09-29,68.7,68.44999999999999,0.5139690469128321,0.0023584302169638,-0.0223269169739021,-0.1716509182180583,0.0,0.0,hedged
