model,split,node,n_predictions,rmse,mae
arima,test,iv_x09_t07,422,0.0103353375170421,0.0075396652398081
arima,test,iv_x09_t08,422,0.0114318228604506,0.0084005718055378
arima,test,iv_x09_t09,422,0.0115161447998462,0.0082513000042351
arima,test,iv_x09_t10,422,0.011573051538722,0.0084115854467758
arima,test,iv_x09_t11,422,0.0119910041518652,0.0087581882688668
arima,test,iv_x09_t12,422,0.0139287864163826,0.0101112628620945
arima,test,iv_x09_t13,422,0.0133826710277757,0.0098819622745486
arima,test,iv_x09_t14,422,0.0125906413802256,0.0091035717924056
arima,test,iv_x09_t15,422,0.0141117321513329,0.0103102376138044
arima,test,iv_x09_t16,422,0.0167343832435007,0.011953130771474
arima,test,iv_x09_t17,422,0.017923440593553,0.0119154576567414
arima,test,iv_x09_t18,278,0.0150775397310339,0.010050070508665
arima,test,iv_x09_t19,23,0.031348200727968,0.0253681188674264
arima,test,iv_x10_t01,422,0.0114821164824665,0.0077056486532987
arima,test,iv_x10_t02,422,0.011038937862704,0.0077079422156091
arima,test,iv_x10_t03,422,0.0116747782727149,0.0080394478781199
arima,test,iv_x10_t04,422,0.0111910372200894,0.0079353554977902
arima,test,iv_x10_t05,422,0.0110640169171479,0.0081143599710951
arima,test,iv_x10_t06,422,0.0112138344339835,0.0082515330952692
arima,test,iv_x10_t07,422,0.0120838565154827,0.0085942915516472
arima,test,iv_x10_t08,422,0.0121533323221323,0.0086034980968436
arima,test,iv_x10_t09,422,0.0111853336354088,0.0082875088441858
arima,test,iv_x10_t10,422,0.0123321077119257,0.0089548678720207
arima,test,iv_x10_t11,422,0.0126327792396954,0.0093458989973905
arima,test,iv_x10_t12,422,0.0129359961129604,0.0091855305626668
arima,test,iv_x10_t13,422,0.013880605093169,0.0099476478650366
arima,test,iv_x10_t14,422,0.0135041786529597,0.0094308337414907
arima,test,iv_x10_t15,422,0.013900150922134,0.0102775600207963
arima,test,iv_x10_t16,422,0.0153594855614855,0.0112253069636146
arima,test,iv_x10_t17,422,0.0161334367513679,0.0109967386631376
arima,test,iv_x10_t18,278,0.0129094152384081,0.0093576250711408
arima,test,iv_x10_t19,23,0.0300750195603455,0.0234581228010618
arima,test,iv_x11_t01,422,0.0115932744485001,0.007887644355447
arima,test,iv_x11_t02,422,0.0112191163787246,0.0078073234960713
arima,test,iv_x11_t03,422,0.0113677232355253,0.0079871245094761
arima,test,iv_x11_t04,422,0.0111209102341388,0.0079536186298935
arima,test,iv_x11_t05,422,0.0119995464250446,0.0085101357448929
arima,test,iv_x11_t06,422,0.0116316790234319,0.0084814305244612
arima,test,iv_x11_t07,422,0.0118946623359253,0.008339365881009
arima,test,iv_x11_t08,422,0.0119892346429014,0.0084441794876016
arima,test,iv_x11_t09,422,0.0109187935332497,0.0077432560672403
arima,test,iv_x11_t10,422,0.0113185806883053,0.0079341488418595
arima,test,iv_x11_t11,422,0.011841048107848,0.0083531992765717
arima,test,iv_x11_t12,422,0.0137999032002516,0.0096959849874392
arima,test,iv_x11_t13,422,0.0138271014899855,0.0100954805199305
arima,test,iv_x11_t14,422,0.0132603610437763,0.0095037632137288
arima,test,iv_x11_t15,422,0.0146363253152737,0.0102639857548442
arima,test,iv_x11_t16,422,0.015799114464011,0.0110499270594454
arima,test,iv_x11_t17,422,0.0167550969397834,0.0115638326212823
arima,test,iv_x11_t18,278,0.0148151880833316,0.0098114059549135
arima,test,iv_x11_t19,23,0.0388877615454241,0.0289116009814311
arima,test,iv_x12_t01,422,0.0114820900347864,0.0079316735062001
arima,test,iv_x12_t02,422,0.0111164386594276,0.0075635511956605
arima,test,iv_x12_t03,422,0.0112160177119755,0.0077984586349373
arima,test,iv_x12_t04,422,0.0109104150480916,0.0076093504995841
arima,test,iv_x12_t05,422,0.0128682513697451,0.009183379471241
arima,test,iv_x12_t06,422,0.0122270628780938,0.0090091122633751
arima,test,iv_x12_t07,422,0.0128420159714891,0.0091865582221605
arima,test,iv_x12_t08,422,0.0139354398397766,0.0095173724115597
arima,test,iv_x12_t09,422,0.0110244641624294,0.0078985244711266
arima,test,iv_x12_t10,422,0.0109387257325836,0.0075740629531042
arima,test,iv_x12_t11,422,0.012312883289664,0.0085835617141236
arima,test,iv_x12_t12,422,0.0126372733224324,0.0089679858843267
arima,test,iv_x12_t13,422,0.0132608072325004,0.0093821647355709
arima,test,iv_x12_t14,422,0.0139074997893176,0.0099080899689356
arima,test,iv_x12_t15,422,0.0144209877686187,0.0103479166247151
arima,test,iv_x12_t16,422,0.015290853636891,0.0106450090599153
arima,test,iv_x12_t17,422,0.0166908184209166,0.0115909808834884
arima,test,iv_x12_t18,278,0.0140361325238015,0.0096449088633911
arima,test,iv_x12_t19,23,0.0268667540429623,0.0217310655907295
arima,test,iv_x13_t01,422,0.0103069116475988,0.0066129009133545
arima,test,iv_x13_t02,422,0.0100217521254534,0.0069262207273767
arima,test,iv_x13_t03,422,0.0102075625919028,0.0072451147601629
